reviews,score,hotel,date,country,room,title,travellerType
,2.5,Marina Bay Sands Hotel,2019,Thailand,Deluxe Twin Room - Lower Floor (3 People),Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Japan,,Fair,Couple
,2.7,Marina Bay Sands Hotel,2019,Japan,,Fair,Couple
,2.9,Marina Bay Sands Hotel,2020,Turkey,,Okay,Couple
,2.9,Marina Bay Sands Hotel,2020,Turkey,,Okay,Couple
,2.7,Marina Bay Sands Hotel,2019,United States of America,,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,United States of America,,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Hong Kong,Premier King Sky View,Fair,Couple
,2.7,Marina Bay Sands Hotel,2019,Hong Kong,Premier King Sky View,Fair,Couple
,2.9,Marina Bay Sands Hotel,2019,South Korea,Deluxe King,Okay,Couple
,2.9,Marina Bay Sands Hotel,2019,South Korea,Deluxe King,Okay,Couple
,2.5,Marina Bay Sands Hotel,2019,Japan,Premier Twin City View Room,Fair,Family
,2.5,Marina Bay Sands Hotel,2019,Japan,Premier Twin City View Room,Fair,Family
,2.5,Marina Bay Sands Hotel,2019,South Korea,Family Studio,Fair,Group
,2.5,Marina Bay Sands Hotel,2019,South Korea,Family Studio,Fair,Group
,2.7,Marina Bay Sands Hotel,2019,Austria,Deluxe King Harbor View Room,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Austria,Deluxe King Harbor View Room,Fair,Family
,2.9,Marina Bay Sands Hotel,2019,South Korea,Premier King Harbor View Room,Okay,Solo traveler
,2.9,Marina Bay Sands Hotel,2019,South Korea,Premier King Harbor View Room,Okay,Solo traveler
,2.7,Marina Bay Sands Hotel,2019,Israel,Premier King Garden View Room,Fair,Couple
,2.7,Marina Bay Sands Hotel,2019,Israel,Premier King Garden View Room,Fair,Couple
,2.7,Marina Bay Sands Hotel,2019,Japan,Premier King Harbor View Room,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Japan,Premier King Harbor View Room,Fair,Family
,2.3,Marina Bay Sands Hotel,2019,South Korea,Deluxe King City View Room,Disappointing,Couple
,2.3,Marina Bay Sands Hotel,2019,South Korea,Deluxe King City View Room,Disappointing,Couple
,2.7,Marina Bay Sands Hotel,2019,Vietnam,Deluxe King,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Vietnam,Deluxe King,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Finland,Deluxe King,Fair,Family
,2.7,Marina Bay Sands Hotel,2019,Finland,Deluxe King,Fair,Family
,2.9,Marina Bay Sands Hotel,2019,Saudi Arabia,Premier King Harbor View Room,Okay,Couple
,2.9,Marina Bay Sands Hotel,2019,Saudi Arabia,Premier King Harbor View Room,Okay,Couple
,2.9,Marina Bay Sands Hotel,2019,France,Premier Twin,Okay,Couple
,2.9,Marina Bay Sands Hotel,2019,France,Premier Twin,Okay,Couple
,2.9,Marina Bay Sands Hotel,2019,United States of America,Special Offer - Deluxe King Harbor View Room,Okay,Family
,2.9,Marina Bay Sands Hotel,2019,United States of America,Special Offer - Deluxe King Harbor View Room,Okay,Family
,2.9,Marina Bay Sands Hotel,2019,Taiwan,Premier Twin City View Room,Okay,Family
,2.9,Marina Bay Sands Hotel,2019,Taiwan,Premier Twin City View Room,Okay,Family
,2.3,Marina Bay Sands Hotel,2020,Israel,Deluxe King,Disappointing,Couple
,2.3,Marina Bay Sands Hotel,2020,Israel,Deluxe King,Disappointing,Couple
,2.3,Marina Bay Sands Hotel,2020,Brazil,Deluxe King,Disappointing,Couple
,2.3,Marina Bay Sands Hotel,2020,Brazil,Deluxe King,Disappointing,Couple
,2.5,Marina Bay Sands Hotel,2020,Russia,Premier Twin Room - Lower Floor (3 People),Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Russia,Premier Twin Room - Lower Floor (3 People),Fair,Family
,2.9,Marina Bay Sands Hotel,2019,Germany,Deluxe King Garden View Room,Überteuert,Couple
,2.9,Marina Bay Sands Hotel,2019,Germany,Deluxe King Garden View Room,Überteuert,Couple
,2.5,Marina Bay Sands Hotel,2020,Taiwan,Deluxe Twin,Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Taiwan,Deluxe Twin,Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Russia,The Club Room King City View,Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Russia,The Club Room King City View,Fair,Family
,2.5,Marina Bay Sands Hotel,2020,United States of America,Deluxe King Room - Lower Floor (3 People),Fair,Family
,2.5,Marina Bay Sands Hotel,2020,United States of America,Deluxe King Room - Lower Floor (3 People),Fair,Family
,2.7,Marina Bay Sands Hotel,2020,Singapore,Premier King Garden View Room,Fair,Couple
,2.7,Marina Bay Sands Hotel,2020,Singapore,Premier King Garden View Room,Fair,Couple
,2.5,Marina Bay Sands Hotel,2020,Taiwan,Deluxe Twin Garden View Room,Fair,Group
,2.5,Marina Bay Sands Hotel,2020,Taiwan,Deluxe Twin Garden View Room,Fair,Group
,2.0,Marina Bay Sands Hotel,2020,Hong Kong,The Grand Club King Garden View Room,Disappointing,Couple
,2.0,Marina Bay Sands Hotel,2020,Hong Kong,The Grand Club King Garden View Room,Disappointing,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King Harbor View Room,Fair,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King Harbor View Room,Fair,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King,Fair,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King,Fair,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King,Fair,Couple
,2.5,Marina Bay Sands Hotel,2022,South Korea,Deluxe King,Fair,Couple
,2.0,Marina Bay Sands Hotel,2022,South Korea,Deluxe Twin City View Room,Disappointing,Couple
,2.0,Marina Bay Sands Hotel,2022,South Korea,Deluxe Twin City View Room,Disappointing,Couple
,2.5,Marina Bay Sands Hotel,2020,Russia,Premier Twin Garden View Room (3 People),Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Russia,Premier Twin Garden View Room (3 People),Fair,Family
,2.5,Marina Bay Sands Hotel,2020,Singapore,Deluxe King Sky View,Fair,Couple
,2.5,Marina Bay Sands Hotel,2020,Singapore,Deluxe King Sky View,Fair,Couple
,2.0,Marina Bay Sands Hotel,2022,Thailand,Deluxe King Garden View Room,Disappointing,Couple
