reviews,score,hotel,date,country,room,title,travellerType
,1.9,Marina Bay Sands Hotel,2020,Thailand,,Poor,Couple
,1.9,Marina Bay Sands Hotel,2020,Thailand,,Poor,Couple
,1.0,Marina Bay Sands Hotel,2019,China,Deluxe Twin Garden View Room,Very Poor,Couple
,1.0,Marina Bay Sands Hotel,2019,China,Deluxe Twin Garden View Room,Very Poor,Couple
,1.9,Marina Bay Sands Hotel,2019,South Korea,Deluxe Twin Garden View Room,Poor,Family
,1.9,Marina Bay Sands Hotel,2019,South Korea,Deluxe Twin Garden View Room,Poor,Family
,1.9,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Harbor View Room,Poor,Couple
,1.9,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Harbor View Room,Poor,Couple
,1.25,Marina Bay Sands Hotel,2019,Switzerland,Deluxe King,Very Poor,Couple
,1.25,Marina Bay Sands Hotel,2019,Switzerland,Deluxe King,Very Poor,Couple
,1.65,Marina Bay Sands Hotel,2019,Israel,Premier King Harbor View Room,Poor,Couple
,1.65,Marina Bay Sands Hotel,2019,Israel,Premier King Harbor View Room,Poor,Couple
,1.0,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe King,Very Poor,Couple
,1.0,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe King,Very Poor,Couple
,1.25,Marina Bay Sands Hotel,2019,Japan,Deluxe Twin Garden View Room,Very Poor,Group
,1.25,Marina Bay Sands Hotel,2019,Japan,Deluxe Twin Garden View Room,Very Poor,Group
,1.25,Marina Bay Sands Hotel,2019,Japan,Premier Twin Garden View Room,Very Poor,Group
,1.25,Marina Bay Sands Hotel,2019,Japan,Premier Twin Garden View Room,Very Poor,Group
,1.65,Marina Bay Sands Hotel,2020,Japan,Deluxe King Garden View Room,Poor,Couple
,1.65,Marina Bay Sands Hotel,2020,Japan,Deluxe King Garden View Room,Poor,Couple
,1.5,Marina Bay Sands Hotel,2020,China,Premier Twin,Poor,Group
,1.5,Marina Bay Sands Hotel,2020,China,Premier Twin,Poor,Group
,0.5,Marina Bay Sands Hotel,2022,Singapore,Deluxe King,Bad,Solo traveler
,0.5,Marina Bay Sands Hotel,2022,Singapore,Deluxe King,Bad,Solo traveler
,1.9,Marina Bay Sands Hotel,2020,Norway,Deluxe King Harbor View Room,Poor,Couple
,1.9,Marina Bay Sands Hotel,2020,Norway,Deluxe King Harbor View Room,Poor,Couple
,1.0,Marina Bay Sands Hotel,2022,France,Deluxe King Garden View Room,Very Poor,Couple
,1.0,Marina Bay Sands Hotel,2022,France,Deluxe King Garden View Room,Very Poor,Couple
,1.5,Marina Bay Sands Hotel,2022,France,Deluxe King Garden View Room,Poor,Couple
,1.5,Marina Bay Sands Hotel,2022,France,Deluxe King Garden View Room,Poor,Couple
,0.5,Marina Bay Sands Hotel,2022,Japan,Deluxe King Garden View Room,Bad,Couple
,0.5,Marina Bay Sands Hotel,2022,Japan,Deluxe King Garden View Room,Bad,Couple
,1.25,Marina Bay Sands Hotel,2020,India,,Very Poor,Solo traveler
,1.25,Marina Bay Sands Hotel,2020,India,,Very Poor,Solo traveler
,0.5,Marina Bay Sands Hotel,2019,Italy,Deluxe King,Bad,Couple
,0.5,Marina Bay Sands Hotel,2019,Italy,Deluxe King,Bad,Couple
,1.65,Marina Bay Sands Hotel,2019,United Kingdom,Premier King Garden View Room,Poor,Couple
,1.65,Marina Bay Sands Hotel,2019,United Kingdom,Premier King Garden View Room,Poor,Couple
,0.5,Marina Bay Sands Hotel,2019,Egypt,Premier King Sky View,Bad,Family
,0.5,Marina Bay Sands Hotel,2019,Egypt,Premier King Sky View,Bad,Family
,1.25,Marina Bay Sands Hotel,2020,Singapore,Deluxe King,Very Poor,Family
,1.25,Marina Bay Sands Hotel,2020,Singapore,Deluxe King,Very Poor,Family
,1.5,Marina Bay Sands Hotel,2020,Singapore,Premier King Garden View Room,Poor,Family
,1.5,Marina Bay Sands Hotel,2020,Singapore,Premier King Garden View Room,Poor,Family
,1.5,Marina Bay Sands Hotel,2020,Singapore,Deluxe Twin,Poor,Couple
,1.5,Marina Bay Sands Hotel,2020,Singapore,Deluxe Twin,Poor,Couple
,1.5,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin City View Room,Poor,Family
,1.5,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin City View Room,Poor,Family
,1.5,Marina Bay Sands Hotel,2021,Singapore,Deluxe King City View Room,Poor,Family
,1.5,Marina Bay Sands Hotel,2021,Singapore,Deluxe King City View Room,Poor,Family
