reviews,score,hotel,date,country,room,title,travellerType
,3.75,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe King Sky View,Good,Couple
,3.75,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe King Sky View,Good,Couple
,3.95,Marina Bay Sands Hotel,2019,China,Family 1 Bedroom,Good,Group
,3.95,Marina Bay Sands Hotel,2019,China,Family 1 Bedroom,Good,Group
,3.95,Marina Bay Sands Hotel,2019,France,,Good,Solo traveler
,3.95,Marina Bay Sands Hotel,2019,France,,Good,Solo traveler
,3.95,Marina Bay Sands Hotel,2019,China,,Good,Couple
,3.95,Marina Bay Sands Hotel,2019,China,,Good,Couple
,3.5,Marina Bay Sands Hotel,2021,Singapore,,Good,Couple
,3.5,Marina Bay Sands Hotel,2021,Singapore,,Good,Couple
,3.5,Marina Bay Sands Hotel,2020,Japan,,Good,Family
,3.5,Marina Bay Sands Hotel,2020,Japan,,Good,Family
,3.75,Marina Bay Sands Hotel,2020,South Korea,,Good,Family
,3.75,Marina Bay Sands Hotel,2020,South Korea,,Good,Family
,3.35,Marina Bay Sands Hotel,2020,Japan,,Pleasant,Group
,3.35,Marina Bay Sands Hotel,2020,Japan,,Pleasant,Group
,3.5,Marina Bay Sands Hotel,2020,Japan,,記念宿泊としては良かったが、常宿にはならない,Family
,3.5,Marina Bay Sands Hotel,2020,Japan,,記念宿泊としては良かったが、常宿にはならない,Family
,3.0,Marina Bay Sands Hotel,2020,Australia,,Pleasant,Couple
,3.0,Marina Bay Sands Hotel,2020,Australia,,Pleasant,Couple
,3.1,Marina Bay Sands Hotel,2020,Panama,,Pleasant,Couple
,3.1,Marina Bay Sands Hotel,2020,Panama,,Pleasant,Couple
,3.55,Marina Bay Sands Hotel,2020,Russia,,Good,Couple
,3.55,Marina Bay Sands Hotel,2020,Russia,,Good,Couple
,3.55,Marina Bay Sands Hotel,2020,Japan,,Good,Family
,3.55,Marina Bay Sands Hotel,2020,Japan,,Good,Family
,3.5,Marina Bay Sands Hotel,2020,Reunion,,Good,Couple
,3.5,Marina Bay Sands Hotel,2020,Reunion,,Good,Couple
,3.75,Marina Bay Sands Hotel,2019,Japan,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,Japan,,Good,Family
,3.55,Marina Bay Sands Hotel,2019,Sweden,,Good,Couple
,3.55,Marina Bay Sands Hotel,2019,Sweden,,Good,Couple
,3.5,Marina Bay Sands Hotel,2019,Netherlands,,Good,Group
,3.5,Marina Bay Sands Hotel,2019,Netherlands,,Good,Group
,3.5,Marina Bay Sands Hotel,2019,Taiwan,,Good,Family
,3.5,Marina Bay Sands Hotel,2019,Taiwan,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,Thailand,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,Thailand,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,South Korea,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,South Korea,,Good,Family
,3.55,Marina Bay Sands Hotel,2019,Norway,,Good,Solo traveler
,3.55,Marina Bay Sands Hotel,2019,Norway,,Good,Solo traveler
,3.5,Marina Bay Sands Hotel,2019,China,,Good,Family
,3.5,Marina Bay Sands Hotel,2019,China,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,China,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,China,,Good,Family
,3.55,Marina Bay Sands Hotel,2019,Japan,,Good,Family
,3.55,Marina Bay Sands Hotel,2019,Japan,,Good,Family
,3.75,Marina Bay Sands Hotel,2019,Japan,,Good,Couple
,3.75,Marina Bay Sands Hotel,2019,Japan,,Good,Couple
,3.95,Marina Bay Sands Hotel,2019,Germany,,Good,Couple
,3.95,Marina Bay Sands Hotel,2019,Germany,,Good,Couple
,3.95,Marina Bay Sands Hotel,2020,Germany,,Good,Couple
,3.95,Marina Bay Sands Hotel,2020,Germany,,Good,Couple
,3.95,Marina Bay Sands Hotel,2020,Greece,,Good,Solo traveler
,3.95,Marina Bay Sands Hotel,2020,Greece,,Good,Solo traveler
,3.75,Marina Bay Sands Hotel,2019,Brazil,Premier Twin City View Room,Good,Couple
,3.75,Marina Bay Sands Hotel,2019,Brazil,Premier Twin City View Room,Good,Couple
,3.55,Marina Bay Sands Hotel,2019,South Korea,Deluxe Twin Garden View Room,Good,Family
